best_action_reward%nearest_hospital_reward%start_state_latlon
0.3270706719971643%0.25855327608325834%(37.98666666664, -122.320277777733)
0.24418294143999997%0.24418294143999997%(38.02638888886225, -121.93527777773272)
0.24418294143999997%0.24418294143999997%(37.795555555528736, -122.40805555551088)
0.31755710156066724%0.24418294143999997%(37.833055555528766, -122.1955555555107)
0.35103798966995303%0.3357926856778211%(37.99527777775112, -122.3483333332886)
0.34538643645404854%0.342615121418067%(37.56444444441744, -122.04361111106611)
0.3454251418768135%0.3338498371263526%(37.68888888886198, -122.04305555551058)
0.3376909901358713%0.3376909901358713%(37.734444444417576, -122.45249999995536)
0.24418294143999997%0.24418294143999997%(37.91555555552883, -122.08749999995506)
0.24418294143999997%0.24418294143999997%(37.70944444441756, -122.45472222217757)
0.3228037135892902%0.25523369464495976%(37.99499999997334, -122.3141666666219)
0.333652602945644%0.3208185080543714%(37.728888888862016, -122.14222222217732)
0.32609281758853537%0.25554940851385555%(37.81472222219542, -122.25305555551074)
0.2523589748012451%0.24418294143999997%(37.799722222195406, -121.85194444439932)
0.3366468279411698%0.3366468279411698%(37.44777777775068, -122.18055555551068)
0.3505870221073012%0.33986741160544875%(37.778888888862056, -122.2069444443996)
0.25558907475111026%0.24418294143999997%(37.873333333306576, -122.0627777777328)
0.32024936567751777%0.24418294143999997%(37.77249999997317, -122.20972222217738)
0.24418294143999997%0.24418294143999997%(37.53305555552853, -121.96527777773274)
0.24418294143999997%0.24418294143999997%(37.47527777775071, -122.16722222217734)
0.2574211444812083%0.2574211444812083%(37.89222222219548, -122.30111111106632)
0.3141459103294588%0.24418294143999997%(37.83944444441766, -121.97777777773274)
0.32952525263737636%0.31986560605037084%(38.11333333330677, -122.57361111106655)
0.24418294143999997%0.24418294143999997%(37.559166666639655, -122.02194444439944)
0.3278602370534952%0.32657193610625285%(37.69638888886199, -121.87249999995488)
0.3507756030496489%0.33902985883298725%(37.74222222219536, -122.25555555551074)
0.24418294143999997%0.24418294143999997%(37.74083333330647, -122.41472222217752)
0.33443839507077033%0.33146822996031305%(37.68499999997309, -121.73777777773256)
0.25211756947479413%0.25211756947479413%(37.62111111108416, -122.41027777773309)
0.34149514546965054%0.3396763498096108%(37.58416666663968, -122.01861111106612)
0.3327394973955421%0.3327394973955421%(37.679444444417534, -122.49166666662204)
0.24418294143999997%0.24418294143999997%(37.96055555552887, -122.03972222217725)
0.24418294143999997%0.24418294143999997%(38.25277777775133, -122.0605555555106)
0.34058562557464844%0.32805151822292083%(37.89138888886215, -122.53499999995542)
0.3518577148281969%0.3412689697959423%(37.7619444444176, -122.42444444439975)
0.24418294143999997%0.24418294143999997%(37.77638888886205, -122.41083333328864)
0.351676053115375%0.34142458104530854%(37.775833333306494, -122.4669444443998)
0.3160483870776299%0.24418294143999997%(37.81972222219542, -122.24138888884409)
0.34351615034757055%0.3436439395458749%(37.65555555552862, -122.46055555551092)
0.3401343890809021%0.3401343890809021%(37.41833333330621, -121.8697222221771)
0.24418294143999997%0.24418294143999997%(37.96805555552887, -122.14555555551064)
0.31405279478752945%0.24418294143999997%(37.690555555528654, -122.08166666662171)
