best_action_reward%nearest_hospital_reward%start_state_latlon
0.2634276598000362%0.2524449507376476%(37.95166666663997, -122.022499999955)
0.34343363621134726%0.34343363621134726%(37.47916666663959, -122.1877777777329)
0.3151148558178746%0.24418294143999997%(37.908055555528826, -122.19638888884404)
0.33907631735032334%0.3169868796850628%(37.67138888886197, -121.79972222217704)
0.25217621695627834%0.24418294143999997%(37.71222222219534, -122.44444444439978)
0.24418294143999997%0.24418294143999997%(37.45666666663958, -122.26833333328852)
0.24418294143999997%0.24418294143999997%(37.79472222219541, -121.97249999995496)
0.24418294143999997%0.24418294143999997%(37.80277777775096, -122.23916666662184)
0.24418294143999997%0.24418294143999997%(37.96833333330665, -121.97055555551051)
0.24418294143999997%0.24418294143999997%(37.98416666664, -122.58333333328878)
0.320565705070563%0.24418294143999997%(37.53861111108409, -121.96527777773274)
0.3206425751429352%0.24418294143999997%(38.17444444441793, -122.2624999999552)
0.3394410446967295%0.3394410446967295%(37.45444444441736, -122.13138888884396)
0.33134556696323997%0.31803651113577697%(37.764166666639824, -122.49888888884428)
0.3488608804837049%0.3347827891040717%(37.83527777775099, -122.19027777773292)
0.3185168368284345%0.24418294143999997%(37.83083333330654, -122.21999999995516)
0.3422548790605189%0.32644387726799096%(37.55083333330632, -122.007499999955)
0.35226981826797205%0.34804970817815145%(37.50416666663961, -122.26666666662186)
0.24418294143999997%0.24418294143999997%(38.10055555552898, -122.20833333328848)
0.31639631528335577%0.24418294143999997%(37.99638888886223, -121.84527777773263)
0.3255214672793344%0.24418294143999997%(37.41444444441732, -122.13055555551064)
0.33946623443158985%0.335001054556677%(37.491111111084045, -122.24916666662185)
0.26194724735648534%0.24418294143999997%(37.93194444441773, -122.03138888884388)
0.3297524441837782%0.31411365793541135%(37.558611111084105, -122.0122222221772)
0.24418294143999997%0.24418294143999997%(37.91333333330661, -122.33472222217748)
0.24418294143999997%0.24418294143999997%(38.12083333330677, -122.6058333332888)
0.24418294143999997%0.24418294143999997%(38.28388888886246, -122.00805555551057)
0.32424167884500815%0.24418294143999997%(37.82611111108432, -122.28194444439966)
0.316708946117443%0.24418294143999997%(37.73916666663981, -122.38722222217751)
0.3419510647590777%0.3241627798536932%(37.51499999997296, -121.99555555551052)
0.25400232879674817%0.24418294143999997%(38.10361111108454, -122.23583333328853)
0.3170818250543362%0.24418294143999997%(37.55555555552854, -122.2572222221774)
0.3288637833922839%0.318869596579121%(37.99833333330668, -122.13055555551064)
0.31510487838527856%0.31510487838527856%(37.46194444441736, -121.91833333328825)
0.34885910988752955%0.3436603858673717%(37.39138888886175, -122.01083333328832)
0.3215255315283075%0.24418294143999997%(37.88888888886214, -122.0302777777328)
0.3214802765400574%0.24418294143999997%(38.00361111108446, -121.90222222217712)
0.34958645869764643%0.34646875071133826%(37.37166666663951, -122.0452777777328)
0.334401754319686%0.3222050716472323%(37.7366666666398, -122.43055555551088)
0.24418294143999997%0.24418294143999997%(37.726666666639794, -122.15805555551069)
0.31985730958367947%0.24418294143999997%(38.27694444441801, -122.26805555551076)
0.24418294143999997%0.24418294143999997%(37.79083333330651, -122.44361111106645)
0.3314771400858444%0.32069819846405806%(37.9588888888622, -122.3558333332886)
0.3252500202267806%0.26439406166532997%(37.69222222219532, -122.4744444443998)
0.24418294143999997%0.24418294143999997%(38.294444444418026, -121.98194444439942)
0.3386584350848927%0.3286399202852886%(37.95611111108442, -122.09111111106616)
0.2523550445347187%0.24418294143999997%(37.92166666663995, -121.71916666662142)
0.24418294143999997%0.24418294143999997%(37.55194444441743, -122.00444444439944)
0.3496416201610455%0.3352366831453976%(37.73749999997313, -122.4808333332887)
0.32399108017654027%0.32399108017654027%(37.99638888886223, -122.04861111106614)
0.33964843852003707%0.3185777857178156%(37.646111111084174, -122.08972222217729)
0.3185494696269743%0.2584601522626289%(37.36833333330617, -122.06861111106616)
0.3318926202206955%0.32739060445514406%(37.46583333330625, -122.2397222221774)
0.24418294143999997%0.24418294143999997%(37.45444444441736, -122.13138888884396)
0.33908894736210454%0.3357716614777497%(37.47749999997293, -122.27444444439963)
0.34654879629367147%0.32851521760041164%(37.67916666663975, -122.03416666662169)
0.24418294143999997%0.24418294143999997%(38.10055555552898, -122.20833333328848)
0.33836698420644384%0.3286630134108942%(37.783055555528726, -122.4152777777331)
0.352261227750088%0.3296652937932205%(37.67444444441752, -121.79749999995482)
0.24418294143999997%0.24418294143999997%(38.008055555528905, -121.79861111106594)
0.325011245981859%0.25240299543416117%(37.75277777775092, -122.43611111106644)
0.32086335898181967%0.24418294143999997%(37.68333333330642, -122.1058333332884)
0.24418294143999997%0.24418294143999997%(38.09999999997342, -122.20277777773292)
0.3359686270733681%0.3228668191409927%(37.89861111108437, -122.29805555551076)
0.3485175288018551%0.32873483471478615%(37.65444444441752, -122.02138888884387)
0.24418294143999997%0.24418294143999997%(38.03138888886226, -121.98027777773277)
0.24418294143999997%0.24418294143999997%(37.81694444441764, -122.26027777773297)
0.2554566451953317%0.24418294143999997%(37.89944444441771, -122.53111111106652)
0.3165256356851293%0.24418294143999997%(37.98361111108444, -121.83111111106597)
0.33387909252064935%0.31821671109425803%(37.74222222219536, -122.25555555551074)
