best_action_reward%nearest_hospital_reward%start_state_latlon
0.26367879307110065%0.24418294143999997%(37.98666666664, -122.320277777733)
0.24418294143999997%0.24418294143999997%(37.77055555552872, -122.171388888844)
0.24418294143999997%0.24418294143999997%(37.6483333333064, -122.48833333328872)
0.3510746192011506%0.3390581480732951%(37.7416666666398, -122.42999999995531)
0.34505397779545216%0.3278831374499402%(37.72361111108423, -122.15722222217732)
0.24418294143999997%0.24418294143999997%(37.96833333330665, -122.2963888888441)
0.31836212429106236%0.24418294143999997%(37.63611111108416, -122.0983333332884)
0.3342001446558011%0.3174133526186757%(37.81361111108431, -122.0011111110661)
0.3497012861877222%0.34059460760546556%(37.79777777775096, -122.4127777777331)
0.24418294143999997%0.24418294143999997%(37.58305555552857, -122.4808333332887)
0.32641501854163907%0.24418294143999997%(37.810833333306526, -122.26972222217742)
0.24418294143999997%0.24418294143999997%(37.7366666666398, -122.25388888884407)
0.32581964575195466%0.2627028415056391%(37.39722222219508, -122.0627777777328)
0.3308920017674593%0.3197983544797824%(37.752499999973146, -122.4277777777331)
0.31750544361682775%0.24418294143999997%(37.752499999973146, -122.18111111106624)
0.24418294143999997%0.24418294143999997%(37.809166666639854, -121.90166666662157)
0.336620101699063%0.25260077325470137%(37.730833333306464, -121.93111111106604)
0.31880361244277816%0.24418294143999997%(37.84055555552877, -122.27611111106631)
0.25402795385102106%0.25402795385102106%(37.653055555528624, -122.43055555551088)
0.3140962516811693%0.24418294143999997%(37.767499999973154, -122.23833333328852)
0.3164028622434656%0.3164028622434656%(37.97249999997332, -122.01027777773275)
0.3424907931697808%0.3242247307417054%(37.561388888861885, -122.05638888884393)
0.24418294143999997%0.24418294143999997%(37.78472222219539, -122.4405555555109)
0.24418294143999997%0.24418294143999997%(38.31138888886248, -122.30472222217745)
0.24418294143999997%0.24418294143999997%(38.09944444441787, -122.22388888884404)
0.3215926027461437%0.3216137441334566%(37.98555555552889, -122.00055555551054)
0.24418294143999997%0.24418294143999997%(38.30888888886248, -122.48666666662204)
0.24418294143999997%0.24418294143999997%(37.719722222195344, -122.1261111110662)
0.3231811633097387%0.3231811633097387%(37.477222222195145, -122.22388888884404)
0.3158696454004356%0.24418294143999997%(38.25194444441799, -122.0527777777328)
0.35739578866097216%0.3537159564640826%(37.450277777750685, -122.26083333328852)
0.33576081100387223%0.32312534433330414%(37.87499999997324, -122.2649999999552)
0.24418294143999997%0.24418294143999997%(38.183055555529045, -122.14194444439954)
0.32706682488568806%0.25509594357152254%(37.96444444441776, -122.50666666662204)
0.24418294143999997%0.24418294143999997%(37.738333333306464, -122.40944444439975)
0.33168772200537033%0.31384663003862856%(37.598055555528575, -122.0577777777328)
0.3308353675111748%0.2575263511540731%(37.99638888886223, -122.5452777777332)
0.24418294143999997%0.24418294143999997%(37.47138888886181, -122.16555555551066)
0.34469266314789127%0.3311322304413612%(37.84055555552877, -122.27611111106631)
0.24418294143999997%0.24418294143999997%(37.87583333330658, -122.54194444439986)
0.3391061090330063%0.3235620675229984%(37.52777777775074, -122.28749999995522)
