best_action_reward%nearest_hospital_reward%start_state_latlon
0.3373533891005354%0.3346216631319101%(41.87111111108754, -71.38999999991451)
0.24418294143999997%0.24418294143999997%(41.74527777775411, -71.47416666658124)
0.24418294143999997%0.24418294143999997%(41.81805555553195, -71.41472222213675)
0.3244644157918651%0.2612053030711762%(41.847499999976414, -71.41999999991454)
0.3596398936202849%0.35573808527986117%(41.72638888886521, -71.54277777769241)
0.3457475048075299%0.34270366143911746%(41.69249999997629, -71.37944444435894)
0.3487682311160865%0.3487682311160865%(41.67388888886517, -71.51111111102571)
0.3417334535382894%0.33948173419158717%(41.69444444442074, -71.46277777769235)
0.24418294143999997%0.24418294143999997%(41.91888888886536, -71.53416666658129)
0.24418294143999997%0.24418294143999997%(41.81749999997639, -71.53972222213685)
0.3334936422455527%0.32091697667645747%(41.836388888865294, -71.38361111102562)
0.33451858588088496%0.31926199483905426%(41.954722222198725, -71.71027777769254)
0.33257096394656593%0.3193225546952032%(41.74805555553189, -71.45611111102568)
0.25466893148188496%0.24418294143999997%(41.4802777777539, -71.31666666658111)
0.33461441385197643%0.321685753568907%(41.81861111108751, -71.37222222213671)
0.3573359895428591%0.3573359895428591%(41.798888888865264, -71.45499999991456)
0.3201041853995139%0.25808207929800075%(41.888055555532006, -71.40111111102563)
0.322357191651193%0.262208942941039%(42.00972222219877, -71.47749999991458)
0.24418294143999997%0.24418294143999997%(41.52694444442061, -71.70666666658143)
0.24418294143999997%0.24418294143999997%(41.55749999997619, -71.46249999991457)
0.3211016723099608%0.25759365669785966%(41.78555555553192, -71.449444444359)
0.3150583569555215%0.25769726454464015%(41.463888888865, -71.63833333324804)
0.34456251837348434%0.34061256997129447%(41.86222222219865, -71.49694444435904)
0.24418294143999997%0.24418294143999997%(41.99194444442097, -71.5188888888035)
0.3251275287440732%0.26753416462317986%(41.379444444420486, -71.62222222213691)
0.3536066446126327%0.3404985210348189%(41.753888888865234, -71.31666666658111)
0.24418294143999997%0.24418294143999997%(41.73555555553188, -71.3938888888034)
0.33755482479628585%0.32439929374924514%(41.67444444442072, -71.27888888880331)
0.2527548781361947%0.2527548781361947%(41.9966666666432, -71.4836111110257)
0.3454422926889568%0.3414528939355496%(41.83166666664307, -71.4558333332479)
0.337299103744374%0.3335012700703505%(41.90916666664313, -71.52416666658128)
0.24418294143999997%0.24418294143999997%(41.87722222219866, -71.64861111102583)
0.24418294143999997%0.24418294143999997%(41.8691666666431, -71.42472222213677)
0.3486006349883479%0.3347070732630093%(41.73833333330966, -71.38999999991451)
0.3534744344483802%0.3529849843227861%(42.00694444442099, -71.49388888880348)
0.24418294143999997%0.24418294143999997%(41.753888888865234, -71.47527777769236)
0.35628728408528665%0.3530229105415761%(41.90749999997647, -71.41472222213675)
0.32261742478521366%0.24418294143999997%(41.746666666643, -71.47833333324792)
